REF_DATE,PRENAME,PRUID,DGUID,population,area
2020-10,Newfoundland and Labrador,10,2016A000210,520998,405212
2020-10,Prince Edward Island,11,2016A000211,159713,5660
2020-10,Nova Scotia,12,2016A000212,979115,55284
2020-10,New Brunswick,13,2016A000213,781315,72908
2020-10,Quebec,24,2016A000224,8575779,1542056
2020-10,Ontario,35,2016A000235,14733119,1076395
2020-10,Manitoba,46,2016A000246,1379584,647797
2020-10,Saskatchewan,47,2016A000247,1177884,651036
2020-10,Alberta,48,2016A000248,4428112,661848
2020-10,British Columbia,59,2016A000259,5145851,944735
2020-10,Yukon,60,2016A000260,42176,482443
2020-10,Northwest Territories,61,2016A000261,45074,1346106
2020-10,Nunavut,62,2016A000262,39285,2093190
