"REF_DATE","GEO","DGUID","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-04","Canada","2016A000011124","Persons","249","units","0","v1","1","37979854","","","","0"
"2020-07","Canada","2016A000011124","Persons","249","units","0","v1","1","38005238","","","","0"
"2020-10","Canada","2016A000011124","Persons","249","units","0","v1","1","38008005","","","","0"
"2020-04","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","522994","","","","0"
"2020-07","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","522103","","","","0"
"2020-10","Newfoundland and Labrador","2016A000210","Persons","249","units","0","v2","2","520998","","","","0"
"2020-04","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","159249","","","","0"
"2020-07","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","159625","","","","0"
"2020-10","Prince Edward Island","2016A000211","Persons","249","units","0","v8","3","159713","","","","0"
"2020-04","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","977043","","","","0"
"2020-07","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","979351","","","","0"
"2020-10","Nova Scotia","2016A000212","Persons","249","units","0","v9","4","979115","","","","0"
"2020-04","New Brunswick","2016A000213","Persons","249","units","0","v10","5","781024","","","","0"
"2020-07","New Brunswick","2016A000213","Persons","249","units","0","v10","5","781476","","","","0"
"2020-10","New Brunswick","2016A000213","Persons","249","units","0","v10","5","781315","","","","0"
"2020-04","Quebec","2016A000224","Persons","249","units","0","v11","6","8572054","","","","0"
"2020-07","Quebec","2016A000224","Persons","249","units","0","v11","6","8574571","","","","0"
"2020-10","Quebec","2016A000224","Persons","249","units","0","v11","6","8575779","","","","0"
"2020-04","Ontario","2016A000235","Persons","249","units","0","v12","7","14723497","","","","0"
"2020-07","Ontario","2016A000235","Persons","249","units","0","v12","7","14734014","","","","0"
"2020-10","Ontario","2016A000235","Persons","249","units","0","v12","7","14733119","","","","0"
"2020-04","Manitoba","2016A000246","Persons","249","units","0","v13","8","1378818","","","","0"
"2020-07","Manitoba","2016A000246","Persons","249","units","0","v13","8","1379263","","","","0"
"2020-10","Manitoba","2016A000246","Persons","249","units","0","v13","8","1379584","","","","0"
"2020-04","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1179618","","","","0"
"2020-07","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1178681","","","","0"
"2020-10","Saskatchewan","2016A000247","Persons","249","units","0","v14","9","1177884","","","","0"
"2020-04","Alberta","2016A000248","Persons","249","units","0","v15","10","4417006","","","","0"
"2020-07","Alberta","2016A000248","Persons","249","units","0","v15","10","4421876","","","","0"
"2020-10","Alberta","2016A000248","Persons","249","units","0","v15","10","4428112","","","","0"
"2020-04","British Columbia","2016A000259","Persons","249","units","0","v3","11","5142404","","","","0"
"2020-07","British Columbia","2016A000259","Persons","249","units","0","v3","11","5147712","","","","0"
"2020-10","British Columbia","2016A000259","Persons","249","units","0","v3","11","5145851","","","","0"
"2020-04","Yukon","2016A000260","Persons","249","units","0","v4","12","41980","","","","0"
"2020-07","Yukon","2016A000260","Persons","249","units","0","v4","12","42052","","","","0"
"2020-10","Yukon","2016A000260","Persons","249","units","0","v4","12","42176","","","","0"
"2020-04","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","45201","","","","0"
"2020-07","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","45161","","","","0"
"2020-10","Northwest Territories","2016A000261","Persons","249","units","0","v6","14","45074","","","","0"
"2020-04","Nunavut","2016A000262","Persons","249","units","0","v7","15","38966","","","","0"
"2020-07","Nunavut","2016A000262","Persons","249","units","0","v7","15","39353","","","","0"
"2020-10","Nunavut","2016A000262","Persons","249","units","0","v7","15","39285","","","","0"


